INFANT FORMULA,MEAD JOHNSON,PREGESTIMIL,W/IRON,PDR,NOT RECON;519;14;28;52.8
INFANT FORMULA,MEAD JOHNSON,PREGESTIMIL,W/IRON,PREP FROM PDR;67;1.82;3.65;6.63
INF FORMULA,MEAD JOHNSON,PROSOBEE,W/ IRON,RTF;63;1.64;3.5;6.11
INFANT FORMULA,MEAD JOHNSON,PROSOBEE,W/IRON,LIQ CNC, NOT REC;131;3.19;7.13;13.58
INF FOR,ME JOHN,ENFAM,LIPIL,LO IRON,READY TO FE,W/ ARA & DHA;64;1.38;3.5;7.18
INF FORMULA,MEAD JOHNSON,ENFAMIL,PROSOBEE,IRON,PDR,NOT RECON;510;12.5;27;54.3
INF FOR,ME JOHNS,ENFAMIL,LACTOF LIPIL,W/ IR,PDR,W/ ARA & DHA;521;10.9;28;56.3
INF FOR,MEA JO,ENF,LACT,LIPIL,W/ IR,LI CO,NO REC,W/ AR & DH;132;2.68;7.11;14.42
INF FORMULA,MEAD JOHNSON,ENFAMIL,LIPIL,RTF,W/ ARA & DHA;66;1.38;3.5;6.44
INF FORMULA,ABBOTT NUTR,SIMILAC,PM 60/40,PDR NOT RECON;524;11.4;28.71;54.94
INF FOR,ME JOH,ENF,NUTR LIPIL,W/ IRO,PDR,NOT RE,W/ ARA & DHA;494;13.9;26;51
INF FORMU,ABBOTT NUTR,SIMILA NAT CARE,ADVAN,RTF,W/ ARA & DHA;78;2.12;4.24;8.2
INF FORM,ABB NUTR,SIM,SPL CAR,ADVA 24,W/ IRON,R,W/ ARA & DHA;71;1.8;3.26;8.73
INF FORMULA,ABBOTT NUTR,SIMILAC,ISOMIL,W/ IRON,RTF;66;1.61;3.59;6.7
INF FORMULA,ABBOTT NUTR,SIMILAC,ISOMIL,W/ IRON,LIQ CONC;128;3.13;6.98;13.21
INF FORMULA,ABBOTT NUTR,SIMILAC,ISOMIL,W/ IRON,PDR,NOT RECON;517;12.6;28.09;53.57
INF FO,ME JO,ENF,NUTR,LIPIL,W/ IR,LIQ CO NOT RE,W/ ARA & DHA;126;3.53;6.73;13.12
INF FO,ME JOHN,EN,NUTR LIPIL,W/ IRON,RE TO FE,W/ ARA & DHA;66;1.83;3.5;6.81
INF FORMULA,ABBOTT NUTR,SIMILAC,ALIMENTUM,W/ IRON,RTF;66;1.8;3.63;6.77
In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH;514;12.5;27;56
INF FORMULA,ABBOTT NUTR,SIMILAC,W/ IRON,RTF;65;1.36;3.55;6.92
INF FORM,AB NUTR,SIMILAC,W/ IRON,LIQ CONC,NOT RECON;127;2.64;6.89;13.76
INF FO,ME JOHN,EN,PROS LIPIL,W/ IRON,PDR,NOT RE,W/ ARA & DHA;510;12.5;27;53
INF FORMULA,ABBOTT NUTR,SIMILAC,W/ IRON,PDR,NOT RECON;522;10.89;28.87;54.73
INFFOR,MEADJOHNS,ENFAMIL,PROSOBEE,LIPIL,LC,NOTREC,ARA&DHA;131;3.19;7.11;13.58
INF FORMULA,ABBOTT NUTR,SIMILAC,LO IRON,RTF (FORMERLY ROSS);65;1.36;3.55;6.93
INF FORMULA,ABBOTT NUTR,SIMILAC,LO IRON,LIQ CONC,NOT RECON;127;2.64;6.89;13.76
INF FOR,MEJOHN,PROSOBEE LIPIL,W/ IRON,RE TO FE,W/ ARA & DHA;64;1.64;3.5;6.11
INF FORMULA,ABBOTT NUTR,SIMILAC,LO IRON,PDR,NOT RECON;522;10.85;28.87;54.78
