CHICKEN,STEWING,LT MEAT,MEAT ONLY,CKD,STWD;213;33.04;7.98;0
CHICKEN,STEWING,DK MEAT,MEAT ONLY,RAW;157;19.7;8.12;0
CHICKEN,STEWING,DK MEAT,MEAT ONLY,CKD,STWD;258;28.14;15.28;0
CHICKEN,CAPONS,MEAT&SKN&GIBLETS&NECK,RAW;232;18.51;16.9;0.08
CHICKEN,CAPONS,MEAT&SKN&GIBLETS&NECK,CKD,RSTD;226;28.35;11.67;0.04
CHICKEN,CAPONS,MEAT&SKN,RAW;234;18.77;17.07;0
CHICKEN,CAPONS,MEAT&SKN,CKD,RSTD;229;28.96;11.65;0
CHICKEN,CAPONS,GIBLETS,RAW;130;18.28;5.18;1.42
CHICKEN,CAPONS,GIBLETS,CKD,SIMMRD;164;26.39;5.4;0.76
DUCK,DOMESTICATED,MEAT&SKN,RAW;404;11.49;39.34;0
DUCK,DOMESTICATED,MEAT&SKN,CKD,RSTD;337;18.99;28.35;0
DUCK,DOMESTICATED,MEAT ONLY,RAW;135;18.28;5.95;0.94
DUCK,DOMESTICATED,MEAT ONLY,CKD,RSTD;201;23.48;11.2;0
DUCK,DOMESTICATED,LIVER,RAW;136;18.74;4.64;3.53
DUCK,WILD,MEAT&SKN,RAW;211;17.42;15.2;0
DUCK,WILD,BREAST,MEAT ONLY,RAW;123;19.85;4.25;0
GOOSE,DOMESTICATED,MEAT&SKN,RAW;371;15.86;33.62;0
GOOSE,DOMESTICATED,MEAT&SKN,CKD,RSTD;305;25.16;21.92;0
GOOSE,DOMESTICATED,MEAT ONLY,RAW;161;22.75;7.13;0
GOOSE,DOMESTICATED,MEAT ONLY,CKD,RSTD;238;28.97;12.67;0
GOOSE,LIVER,RAW;133;16.37;4.28;6.32
GUINEA HEN,MEAT&SKN,RAW;158;23.4;6.45;0
GUINEA HEN,MEAT ONLY,RAW;110;20.64;2.47;0
PHEASANT,RAW,MEAT&SKN;181;22.7;9.29;0
PHEASANT,RAW,MEAT ONLY;133;23.57;3.64;0
PHEASANT,BREAST,MEAT ONLY,RAW;133;24.37;3.25;0
PHEASANT,LEG,MEAT ONLY,RAW;134;22.2;4.3;0
QUAIL,MEAT AND SKIN,RAW;192;19.63;12.05;0
QUAIL,MEAT ONLY,RAW;134;21.76;4.53;0
QUAIL,BREAST,MEAT ONLY,RAW;123;22.59;2.99;0
SQUAB,(PIGEON),MEAT&SKN,RAW;294;18.47;23.8;0
SQUAB,(PIGEON),MEAT ONLY,RAW;142;17.5;7.5;0
SQUAB,(PIGEON),LT MEAT WO/SKN,RAW;134;21.76;4.52;0
TURKEY,ALL CLASSES,MEAT&SKN&GIBLETS&NECK,RAW;157;20.37;7.77;0.08
TURKEY,ALL CLASSES,MEAT&SKN&GIBLETS&NECK,CKD,RSTD;205;27.98;9.45;0.07
TURKEY,ALL CLASSES,MEAT&SKN,RAW;160;20.42;8.02;0
TURKEY,ALL CLASSES,MEAT&SKN,CKD,RSTD;208;28.1;9.73;0
TURKEY,ALL CLASSES,MEAT ONLY,RAW;120;21.77;2.86;0.24
TURKEY,ALL CLASSES,MEAT ONLY,CKD,RSTD;170;29.32;4.97;0
TURKEY,ALL CLASSES,SKN ONLY,RAW;389;12.71;36.91;0.43
